10   0,001   0,000763152664578704   36
10   0,002   4,65085575399374E-05   38
10   0,003   4,56785429357046E-06   38
10   0,004   1,21102950596876E-06   38
10   0,005   9,06622191023977E-07   38
10   0,006   8,7803096720763E-07   38
10   0,007   8,76333002482798E-07   38
10   0,008   8,77387681795978E-07   38
10   0,009   8,78705826111997E-07   38
10   0,01   8,80014297541001E-07   38
10   0,011   8,81282800456933E-07   38
10   0,012   8,82510411056779E-07   38
10   0,013   8,83700114906912E-07   38
10   0,014   8,84855248335063E-07   38
10   0,015   8,8597889963022E-07   38
10   0,016   8,87073802705331E-07   38
10   0,017   8,88142328396477E-07   38
10   0,018   8,89186495650158E-07   38
10   0,019   8,9020798646711E-07   38
10   0,02   8,91208162454936E-07   38
10   0,021   8,92188083703681E-07   38
10   0,022   8,93148530706198E-07   38
10   0,023   8,94090029436929E-07   38
10   0,024   8,95012879124481E-07   38
10   0,025   8,95917181870571E-07   38
10   0,026   8,96802873089953E-07   38
10   0,027   8,97669751733609E-07   38
10   0,028   8,98517509360652E-07   38
10   0,029   8,99345757295653E-07   38
10   0,03   9,00154051309624E-07   38
10   0,031   9,00941913465989E-07   38
10   0,032   9,01708850958408E-07   38
10   0,033   9,02454371924724E-07   38
10   0,034   9,03177998345295E-07   38
10   0,035   9,03879276224647E-07   38
10   0,036   9,04557783314858E-07   38
10   0,037   9,05213134672431E-07   38
10   0,038   9,05844986351904E-07   38
10   0,039   9,06453037534691E-07   38
10   0,04   9,07037031375123E-07   38
10   0,041   9,0759675482161E-07   38
10   0,042   9,08132037642256E-07   38
10   0,043   9,0864275085417E-07   38
10   0,044   9,09128804725827E-07   38
10   0,045   9,09590146493172E-07   38
10   0,046   9,10026757904328E-07   38
10   0,047   9,1043865268428E-07   38
10   0,048   9,10825873990987E-07   38
10   0,049   9,11188491916673E-07   38
20   0,001   4,35245208187113E-07   38
20   0,002   4,35566610695792E-07   38
20   0,003   4,35707689116278E-07   38
20   0,004   4,35669687185031E-07   38
20   0,005   4,35466387100996E-07   38
20   0,006   4,35134582847371E-07   38
20   0,007   4,34719476905664E-07   38
20   0,008   4,34265700958196E-07   38
20   0,009   4,33812479519516E-07   38
20   0,01   4,33391202478197E-07   38
20   0,011   4,33024554092949E-07   38
20   0,012   4,3272671668549E-07   38
20   0,013   4,32504298380502E-07   38
20   0,014   4,32357689996031E-07   38
20   0,015   4,32282600328636E-07   38
20   0,016   4,32271570229827E-07   38
20   0,017   4,32315323929193E-07   38
20   0,018   4,32403874446314E-07   38
20   0,019   4,32527351563352E-07   38
20   0,02   4,32676560815714E-07   38
20   0,021   4,32843308381599E-07   38
20   0,022   4,33020540310047E-07   38
20   0,023   4,33202347648993E-07   38
20   0,024   4,33383884903905E-07   38
20   0,025   4,3356124101645E-07   38
20   0,026   4,33731292298514E-07   38
20   0,027   4,33891557324161E-07   38
20   0,028   4,34040065747145E-07   38
20   0,029   4,34175246826557E-07   38
20   0,03   4,34295839122681E-07   38
20   0,031   4,34400820125633E-07   38
20   0,032   4,34489353145551E-07   38
20   0,033   4,3456074825631E-07   38
20   0,034   4,34614434121633E-07   38
20   0,035   4,34649937888767E-07   38
20   0,036   4,34666870829971E-07   38
20   0,037   4,34664917928223E-07   38
20   0,038   4,34643830074563E-07   38
20   0,039   4,34603417938533E-07   38
20   0,04   4,34543546882499E-07   38
20   0,041   4,34464132520476E-07   38
20   0,042   4,34365136684346E-07   38
20   0,043   4,34246563668993E-07   38
20   0,044   4,34108456696217E-07   38
20   0,045   4,33950894577094E-07   38
20   0,046   4,3377398857278E-07   38
20   0,047   4,33577879461831E-07   38
20   0,048   4,3336273482288E-07   38
20   0,049   4,33128746538524E-07   38
30   0,001   2,78529892283139E-07   38
30   0,002   2,78482015940794E-07   38
30   0,003   2,78191314772375E-07   38
30   0,004   2,77700716356733E-07   38
30   0,005   2,77060399279251E-07   38
30   0,006   2,76333268002034E-07   38
30   0,007   2,75581798414372E-07   38
30   0,008   2,74859356124622E-07   38
30   0,009   2,74205804722282E-07   38
